state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_males,percent_graduate_females,,,,
andhra pradesh,Adilabad ,Rural,847801,208837,262235,14684,268525,108204,2778,6,3,,,,
andhra pradesh,Nizamabad ,Rural,870992,187603,271895,18378,281097,130397,4176,7,4,,,,
andhra pradesh,Karimnagar ,Rural,1270037,269398,437198,33671,369460,193981,6698,8,4,,,,
andhra pradesh,Medak ,Rural,966666,236763,315995,21023,305320,108588,3255,7,3,,,,
andhra pradesh,Rangareddy ,Rural,649773,149759,240081,17748,181976,77957,3471,8,5,,,,
andhra pradesh,Mahbubnagar ,Rural,1613518,445378,440184,28707,572096,155860,5880,7,4,,,,
andhra pradesh,Nalgonda ,Rural,1277782,271813,456626,37813,370661,178682,6015,9,4,,,,
andhra pradesh,Warangal ,Rural,1129663,257793,371417,28984,346514,153939,5162,8,4,,,,
andhra pradesh,Khammam ,Rural,1009056,232689,331669,23679,288782,155916,4692,8,4,,,,
andhra pradesh,Srikakulam ,Rural,796232,204039,309703,26220,192028,90462,3461,9,4,,,,
andhra pradesh,Vizianagaram ,Rural,795962,217415,260759,20987,230614,87174,2996,9,4,,,,
andhra pradesh,Visakhapatnam ,Rural,861802,251343,291532,20887,234067,84860,3669,8,5,,,,
andhra pradesh,East Godavari ,Rural,1341779,370854,670577,48094,168004,132344,6146,8,5,,,,
andhra pradesh,West Godavari ,Rural,1275115,266556,626077,41733,179258,203224,6618,7,4,,,,
andhra pradesh,Krishna ,Rural,1141924,231019,492354,32525,212540,206011,6962,7,4,,,,
andhra pradesh,Guntur ,Rural,1527629,335705,562173,42618,390901,238850,7639,8,4,,,,
andhra pradesh,Prakasam ,Rural,1242476,280912,458903,33856,336456,166205,5278,8,4,,,,
andhra pradesh,Sri Potti Sriramulu Nellore ,Rural,816571,190039,358722,24603,159711,108099,4184,7,4,,,,
andhra pradesh,Y.S.R. ,Rural,767509,153180,337628,29309,177864,98837,4472,9,5,,,,
andhra pradesh,Kurnool ,Rural,1372624,336138,437938,29799,438860,159688,4699,7,3,,,,
andhra pradesh,Anantapur ,Rural,1290362,280449,490877,31299,332864,186172,5618,7,4,,,,
andhra pradesh,Chittoor ,Rural,1274176,216148,565105,38550,266077,226846,8347,7,4,,,,
arunachal pradesh ,Tawang,Rural,16923,6180,4784,315,4674,1285,148,7,12,,,,
arunachal pradesh ,West Kameng,Rural,29070,6187,14546,1174,5138,3199,226,9,8,,,,
arunachal pradesh ,East Kameng ,Rural,22162,6084,4838,451,8952,2288,86,10,4,,,,
arunachal pradesh ,Papum Pare ,Rural,23239,3653,11137,1662,4360,4089,434,15,11,,,,
arunachal pradesh ,Upper Subansiri ,Rural,22178,5602,6286,674,7006,3284,128,11,4,,,,
